epoch,deterministic,uniform_v1,uniform_v2
1,67.8,37.2,71.2
2,62.9,70.5,63.8
3,59.9,57.8,58.2
4,72.1,77.6,65.7
5,69.3,75.6,74.8
6,70.1,98.7,54.8
7,83.9,91.4,80.9
8,92.6,93.7,106.2
9,113.9,88.3,117.4
10,94.0,96.2,81.8
11,121.6,112.3,101.6
12,111.3,100.9,95.0
13,122.0,93.3,89.4
14,132.6,113.4,99.8
15,126.8,121.6,104.3
16,84.8,87.7,72.3
17,84.3,99.8,88.4
18,108.7,124.3,90.3
19,109.9,93.8,129.1
20,94.3,102.3,82.5
21,117.7,138.8,121.0
22,118.7,127.1,105.4
23,118.5,114.2,108.5
24,135.9,136.2,136.1
25,154.7,139.7,105.7
26,113.0,154.6,119.0
27,126.0,149.0,94.4
28,152.9,139.6,159.5
29,111.0,136.4,87.8
30,113.0,148.0,85.0
31,138.7,197.1,106.2
32,158.0,130.8,88.5
33,136.6,158.0,98.4
34,158.9,139.0,106.1
35,122.3,141.2,100.6
36,130.1,121.4,107.4
37,156.0,142.9,130.0
38,167.6,167.9,95.2
39,170.4,257.8,138.3
40,168.2,154.3,115.0
41,192.7,193.5,119.5
42,172.0,190.1,122.5
43,168.7,164.7,98.1
44,161.7,148.2,132.9
45,108.6,165.9,113.8
46,184.6,147.2,108.6
47,159.5,265.1,116.5
48,157.8,170.1,108.8
49,213.6,255.9,133.6
50,178.7,263.6,129.8
