epoch,deterministic,uniform_v1,uniform_v2
1,338.1418571571535,184.36235608817742,341.55094239986
2,348.0742284741258,383.7785362980421,349.08680727163
3,292.4866669157474,301.75258152283675,300.32603387697316
4,388.5392281846947,399.3600083956412,361.6179647190861
5,363.7480587782715,385.5026855367963,403.2468482122666
6,323.3882983536108,496.497112079028,253.38207279043277
7,452.35460161741423,485.0069690658278,432.2353818792135
8,469.20483443811645,478.6406781384893,520.3783226375357
9,569.6198239067684,429.81920076812855,563.3508999743785
10,507.3041985165961,495.0072727500486,444.47931248355565
11,623.0804371860788,587.9590307561452,550.212040097046
12,582.5384278447088,515.9011049433694,514.0239300830096
13,601.2084138784853,428.5295824867021,457.44871682568646
14,655.3336344586717,551.028484712437,536.7448908892546
15,657.4665773925527,582.505169494191,535.6493986173189
16,448.6113210418565,443.68417051159287,389.8176850221731
17,447.51681528828567,515.9249354831514,470.35626479207224
18,574.5772189194624,629.231142921706,491.5253667243367
19,537.6727142497491,451.5971459116939,675.3960496288976
20,503.8614006987715,538.5090392464125,442.1418218146038
21,575.8601013862043,723.4465735046712,639.8094205135284
22,613.3553525297098,660.0881017813009,534.2587843485628
23,637.2559627254917,608.8808208436847,592.3655056167196
24,680.7914851036461,662.0598232386983,687.6825584065186
25,778.364891230636,710.759314536891,558.1264493614491
26,584.2400508567155,778.5872393665538,609.8456731339553
27,681.1056524783733,777.1790304101684,518.8881506093393
28,788.1735756887025,705.1686666638649,835.0000402955906
29,589.6939039941001,722.2903004597321,479.4410141528486
30,610.174152060095,774.1661312887805,460.99727836271006
31,743.1013283015203,1012.0257885486668,572.6953365138422
32,781.4576819275283,670.0610350432264,461.2149902821694
33,703.9157465717055,827.3213771544139,534.0471252855484
34,810.8272836140021,663.629281916313,567.069919668401
35,660.3519054333457,757.7923120487887,547.1550126519951
36,687.7756690832379,650.4792014733177,584.8438440124617
37,827.4879073991591,736.031070875015,703.8594656378842
38,863.2211832210729,854.1888560699451,522.2053838048253
39,889.3737672770519,1328.6179911132997,745.3314972699659
40,872.6962215568435,789.9720143999446,606.2882089756677
41,1022.7872313316468,1033.9009297638254,649.7595602739286
42,862.2766264734109,960.856776371136,651.1466522853858
43,836.4766569118667,788.5997764887952,526.7880673480224
44,789.6840768498466,720.6106643524288,691.4920641724414
45,576.2499776972629,842.0361732463225,611.947322009838
46,964.1105039797449,781.9042428585824,592.9417340296125
47,817.6908007844164,1337.1643262526045,609.7451526752636
48,814.5910560866378,879.858787969971,569.0226901489148
49,1146.7019750634822,1364.1743679486096,718.0127152083962
50,917.0680629391967,1379.3465372008534,707.7789732306315
