epoch,deterministic,uniform_v1,uniform_v2
1,16.0,15.8,16.0
2,53.2,42.7,54.5
3,97.9,21.9,94.1
4,55.0,45.4,55.8
5,58.5,62.4,57.7
6,57.7,45.4,56.5
7,84.7,61.4,91.4
8,57.9,48.6,69.5
9,114.8,78.3,91.9
10,84.0,65.9,90.5
11,54.8,67.1,57.2
12,75.1,58.1,83.7
13,72.8,69.6,65.4
14,92.1,82.4,85.8
15,89.0,59.7,99.9
16,81.2,77.5,82.4
17,66.0,88.6,73.2
18,73.3,87.1,75.5
19,67.3,70.1,73.1
20,81.4,109.7,77.3
21,81.0,91.5,73.0
22,72.6,87.4,71.1
23,95.4,73.4,74.6
24,65.1,89.8,59.6
25,62.8,85.6,63.4
26,109.8,94.3,107.3
27,97.3,97.5,82.1
28,81.2,91.0,84.8
29,98.0,85.3,125.8
30,112.5,112.8,90.5
31,129.1,86.5,145.1
32,107.3,120.4,133.2
33,81.1,98.2,90.0
34,97.2,108.6,100.0
35,84.8,104.3,82.4
36,110.2,110.0,111.4
37,112.6,95.9,104.0
38,109.4,112.8,103.9
39,101.6,97.4,108.4
40,105.0,93.4,112.2
41,108.7,111.5,120.9
42,98.5,94.8,109.9
43,103.0,106.4,102.7
44,90.6,113.5,109.0
45,81.3,109.2,84.5
46,113.7,103.3,98.8
47,102.9,93.0,94.2
48,99.0,93.6,106.1
49,103.1,90.0,101.3
50,131.3,98.6,117.4
51,110.0,95.3,108.0
52,107.8,106.7,106.2
53,108.8,106.3,105.3
54,105.2,108.3,96.4
55,94.7,103.9,83.6
56,94.4,91.8,100.0
57,122.6,103.3,122.3
58,105.9,101.7,100.7
59,96.5,120.4,87.4
60,115.9,122.5,114.0
61,122.4,116.5,106.5
62,97.8,105.6,105.1
63,90.5,92.5,90.5
64,119.5,114.3,118.3
65,102.3,105.0,108.7
66,119.4,112.1,112.8
67,83.5,107.9,101.7
68,140.4,118.1,98.9
69,102.4,116.5,117.8
70,83.3,105.0,92.8
71,132.9,125.0,122.3
72,116.1,102.1,116.3
73,121.9,109.3,111.1
74,99.7,120.7,116.8
75,101.1,117.6,113.8
76,124.7,112.6,120.8
77,111.5,143.9,125.3
78,142.9,122.4,127.1
79,113.0,108.5,108.6
80,113.1,115.6,109.6
81,143.5,94.6,126.0
82,125.6,120.4,122.2
83,135.1,141.1,109.7
84,118.5,112.2,112.5
85,106.2,104.4,113.7
86,120.4,121.5,96.2
87,105.2,109.1,109.8
88,120.5,120.9,130.9
89,129.4,118.9,126.3
90,115.5,125.1,130.4
91,124.6,140.4,118.8
92,107.6,97.7,109.6
93,129.2,134.6,123.1
94,145.9,145.3,119.3
95,133.1,115.8,112.7
96,117.4,110.1,101.4
97,138.5,149.5,119.4
98,139.4,187.3,123.2
99,134.7,148.8,126.1
100,157.8,151.3,116.7
101,148.7,135.7,136.4
102,124.4,158.0,96.5
103,130.2,122.7,108.6
104,137.4,143.3,126.8
105,123.4,116.8,105.6
106,163.3,157.1,135.9
107,131.0,124.7,106.3
108,147.0,112.1,136.4
109,147.1,130.8,125.8
110,145.4,131.2,122.3
111,154.0,159.3,147.1
112,127.5,143.5,133.0
113,138.1,127.6,114.0
114,136.1,130.4,175.8
115,178.4,141.3,114.8
116,141.9,143.5,112.8
117,180.0,170.4,131.6
118,130.0,191.3,115.2
119,175.5,178.1,122.4
120,135.3,138.6,147.9
121,119.0,138.5,113.1
122,123.6,175.6,117.8
123,153.1,183.8,109.9
124,136.8,158.1,123.3
125,154.1,180.6,119.0
126,174.4,161.8,129.5
127,134.9,187.3,122.4
128,124.1,162.0,170.9
129,114.2,169.1,110.0
130,125.1,147.1,112.5
131,152.6,200.3,122.8
132,186.4,212.7,161.4
133,151.0,209.0,115.0
134,133.1,205.7,124.6
135,152.3,118.4,141.4
136,166.3,169.9,144.9
137,158.8,166.0,165.5
138,137.7,179.3,135.3
139,151.9,173.9,121.4
140,147.9,220.0,142.1
141,146.5,134.2,105.8
142,177.0,115.3,134.3
143,117.1,153.9,111.1
144,170.3,140.2,116.1
145,152.1,174.3,132.8
146,155.0,159.3,123.7
147,137.5,151.1,121.9
148,192.2,186.0,143.9
149,146.2,178.5,131.5
150,97.6,148.5,91.4
151,117.2,178.1,89.6
152,127.3,170.6,114.0
153,113.7,158.7,109.0
154,138.0,154.2,112.3
155,150.7,136.9,132.0
156,174.8,201.2,106.5
157,140.4,220.3,98.8
158,151.6,128.8,129.9
159,153.0,138.0,116.9
160,187.2,164.9,134.1
161,142.5,140.6,90.2
162,118.1,188.9,117.7
163,132.9,198.3,108.3
164,129.2,211.0,117.9
165,206.0,212.6,154.0
166,122.4,202.1,91.7
167,124.5,174.5,85.9
168,113.1,220.0,118.0
169,184.2,163.9,90.4
170,161.4,212.2,95.9
171,184.0,371.1,80.7
172,121.5,212.3,104.4
173,169.0,193.9,115.7
174,122.5,248.9,115.3
175,187.6,174.4,128.3
176,128.0,172.3,82.6
177,124.3,309.8,90.9
178,129.6,422.3,103.1
179,161.1,214.3,103.0
180,139.8,415.3,102.1
181,96.7,185.6,77.5
182,179.4,135.3,87.5
183,155.7,321.8,125.4
184,115.2,230.9,104.0
185,144.7,171.3,83.0
186,135.9,226.7,121.2
187,139.0,342.7,122.1
188,119.2,297.9,99.2
189,187.7,265.3,101.0
190,144.2,339.2,86.0
191,155.4,451.2,89.7
192,101.4,315.1,81.9
193,219.3,232.9,97.5
194,212.5,384.5,96.7
195,141.7,248.8,123.5
196,160.0,118.7,109.5
197,175.2,237.4,134.3
198,146.2,375.7,112.9
199,169.6,353.2,95.7
200,193.7,274.1,103.2
201,140.0,214.6,115.6
202,168.5,345.1,128.5
203,271.4,456.4,148.2
204,145.4,354.1,106.8
205,163.6,273.2,117.5
206,122.0,435.6,106.5
207,232.7,451.3,128.9
208,206.4,508.1,112.6
209,135.8,373.1,106.7
210,243.7,254.3,91.6
211,184.0,247.0,100.7
212,169.6,533.1,123.5
213,132.8,413.0,77.9
214,201.0,299.7,106.4
215,123.2,475.3,80.8
216,108.3,686.5,80.3
217,256.4,230.3,122.4
218,142.1,420.4,133.7
219,147.3,633.6,125.7
220,173.6,292.4,137.5
221,230.8,397.0,131.2
222,266.3,646.2,148.1
223,129.0,312.7,85.6
224,242.4,403.5,129.2
225,134.3,416.3,108.4
226,165.3,489.7,105.5
227,286.8,697.1,130.3
228,166.0,590.4,122.6
229,234.0,395.8,115.5
230,234.8,349.0,149.1
231,139.3,602.0,91.8
232,282.1,343.0,110.1
233,347.8,640.0,100.0
234,206.9,401.0,101.1
235,122.1,197.7,102.4
236,110.7,410.8,100.5
237,134.1,467.2,97.1
238,164.5,610.2,107.5
239,142.9,608.4,69.7
240,252.2,494.4,100.8
241,199.4,618.9,119.3
242,213.7,543.4,103.6
243,162.6,437.8,101.8
244,259.5,610.5,104.4
245,284.1,436.9,106.9
246,216.5,656.9,103.7
247,203.6,489.3,113.1
248,125.3,462.4,98.0
249,506.8,794.1,110.6
250,401.7,360.5,124.4
251,233.8,369.1,108.6
252,319.3,269.2,125.6
253,473.9,259.9,161.7
254,234.3,735.5,116.9
255,333.8,808.9,113.5
256,366.0,361.9,127.6
257,152.1,373.7,95.1
258,140.2,468.6,122.1
259,352.9,538.3,110.5
260,529.6,482.1,121.0
261,195.2,329.7,94.8
262,370.8,654.7,93.5
263,337.1,690.1,154.6
264,955.0,568.6,179.8
265,504.8,889.9,124.7
266,171.3,651.2,121.6
267,804.8,701.1,112.7
268,859.5,741.7,185.3
269,368.3,818.6,102.9
270,679.3,375.1,112.5
271,291.5,709.4,111.2
272,123.2,561.7,85.0
273,365.8,1000.0,111.8
274,719.9,551.5,95.0
275,237.6,810.7,94.6
276,174.7,737.3,96.5
277,622.7,732.2,94.0
278,341.4,668.3,113.1
279,593.6,671.8,125.1
280,512.2,900.8,112.5
281,589.3,583.7,167.0
282,445.1,931.1,122.3
283,427.5,898.3,144.6
284,857.6,913.1,85.9
285,776.8,801.6,149.1
286,656.7,759.2,177.2
287,694.0,912.9,102.3
288,188.5,892.0,121.2
289,241.5,1000.0,121.5
290,632.6,838.5,106.0
291,269.8,414.5,135.5
292,424.5,673.4,106.9
293,502.4,407.9,131.8
294,728.6,810.0,120.3
295,945.9,884.2,122.4
296,565.8,1000.0,138.0
297,853.3,893.3,186.5
298,834.8,765.2,136.1
299,960.9,799.5,260.2
300,474.3,1000.0,122.4
301,476.5,894.5,124.4
302,730.7,720.3,232.6
303,979.1,649.0,123.4
304,820.0,821.5,189.5
305,707.6,909.6,119.1
306,535.5,854.7,111.1
307,617.0,689.5,411.5
308,211.2,915.8,101.6
309,645.9,976.8,109.4
310,495.1,754.7,135.5
311,338.8,859.7,122.5
312,520.9,755.1,111.1
313,690.2,699.2,149.6
314,531.4,764.1,111.3
315,337.2,935.9,134.6
316,747.6,858.7,98.0
317,720.6,969.8,194.4
318,937.8,919.3,193.1
319,461.5,848.5,105.5
